2023-10-23 15:31:50,018 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:49,position:0.0,output_action:0,price_info:{'bid1_price': 30723.27, 'bid1_size': 16.48801, 'bid2_price': 30722.91, 'bid2_size': 0.06702, 'bid3_price': 30722.9, 'bid3_size': 0.22776, 'bid4_price': 30722.84, 'bid4_size': 0.00146, 'bid5_price': 30722.83, 'bid5_size': 0.06, 'ask1_price': 30723.28, 'ask1_size': 2.0744, 'ask2_price': 30723.3, 'ask2_size': 0.02269, 'ask3_price': 30723.32, 'ask3_size': 0.00165, 'ask4_price': 30723.37, 'ask4_size': 0.00036, 'ask5_price': 30723.38, 'ask5_size': 0.21568}
2023-10-23 15:31:51,165 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:50,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 2.72988, 'bid2_price': 30727.0, 'bid2_size': 0.0215, 'bid3_price': 30726.92, 'bid3_size': 0.00033, 'bid4_price': 30725.89, 'bid4_size': 0.64, 'bid5_price': 30725.59, 'bid5_size': 0.64, 'ask1_price': 30727.43, 'ask1_size': 1.9658, 'ask2_price': 30727.5, 'ask2_size': 2.06086, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.64, 'ask5_size': 0.00033}
2023-10-23 15:31:51,165 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:50,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 2.72988, 'bid2_price': 30727.0, 'bid2_size': 0.0215, 'bid3_price': 30726.92, 'bid3_size': 0.00033, 'bid4_price': 30725.89, 'bid4_size': 0.64, 'bid5_price': 30725.59, 'bid5_size': 0.64, 'ask1_price': 30727.43, 'ask1_size': 1.9658, 'ask2_price': 30727.5, 'ask2_size': 2.06086, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.64, 'ask5_size': 0.00033}
2023-10-23 15:31:52,157 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:51,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 2.24624, 'bid2_price': 30727.28, 'bid2_size': 0.00033, 'bid3_price': 30727.22, 'bid3_size': 0.15313, 'bid4_price': 30727.16, 'bid4_size': 0.00033, 'bid5_price': 30727.06, 'bid5_size': 0.00022, 'ask1_price': 30727.43, 'ask1_size': 5.22638, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.6, 'ask5_size': 0.00438}
2023-10-23 15:31:52,157 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:51,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 2.24624, 'bid2_price': 30727.28, 'bid2_size': 0.00033, 'bid3_price': 30727.22, 'bid3_size': 0.15313, 'bid4_price': 30727.16, 'bid4_size': 0.00033, 'bid5_price': 30727.06, 'bid5_size': 0.00022, 'ask1_price': 30727.43, 'ask1_size': 5.22638, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.6, 'ask5_size': 0.00438}
2023-10-23 15:31:53,038 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:52,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 7.22989, 'bid2_price': 30727.28, 'bid2_size': 0.00033, 'bid3_price': 30727.22, 'bid3_size': 0.15313, 'bid4_price': 30727.16, 'bid4_size': 0.00033, 'bid5_price': 30727.06, 'bid5_size': 0.00022, 'ask1_price': 30727.43, 'ask1_size': 5.18912, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.59, 'ask5_size': 0.6616}
2023-10-23 15:31:53,038 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:52,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 7.22989, 'bid2_price': 30727.28, 'bid2_size': 0.00033, 'bid3_price': 30727.22, 'bid3_size': 0.15313, 'bid4_price': 30727.16, 'bid4_size': 0.00033, 'bid5_price': 30727.06, 'bid5_size': 0.00022, 'ask1_price': 30727.43, 'ask1_size': 5.18912, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.59, 'ask5_size': 0.6616}
2023-10-23 15:31:53,974 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:53,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 7.83407, 'bid2_price': 30727.41, 'bid2_size': 0.063, 'bid3_price': 30727.28, 'bid3_size': 0.00033, 'bid4_price': 30727.22, 'bid4_size': 0.15313, 'bid5_price': 30727.16, 'bid5_size': 0.00033, 'ask1_price': 30727.43, 'ask1_size': 5.42714, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 1.13535, 'ask4_price': 30727.55, 'ask4_size': 0.67916, 'ask5_price': 30727.56, 'ask5_size': 0.00041}
2023-10-23 15:31:53,974 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:53,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 7.83407, 'bid2_price': 30727.41, 'bid2_size': 0.063, 'bid3_price': 30727.28, 'bid3_size': 0.00033, 'bid4_price': 30727.22, 'bid4_size': 0.15313, 'bid5_price': 30727.16, 'bid5_size': 0.00033, 'ask1_price': 30727.43, 'ask1_size': 5.42714, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 1.13535, 'ask4_price': 30727.55, 'ask4_size': 0.67916, 'ask5_price': 30727.56, 'ask5_size': 0.00041}
2023-10-23 15:31:55,033 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:54,position:0.0,output_action:0,price_info:{'bid1_price': 30727.42, 'bid1_size': 7.87346, 'bid2_price': 30727.41, 'bid2_size': 0.063, 'bid3_price': 30727.28, 'bid3_size': 0.00033, 'bid4_price': 30727.22, 'bid4_size': 0.15313, 'bid5_price': 30727.16, 'bid5_size': 0.00033, 'ask1_price': 30727.43, 'ask1_size': 5.62451, 'ask2_price': 30727.5, 'ask2_size': 2.07648, 'ask3_price': 30727.52, 'ask3_size': 0.45033, 'ask4_price': 30727.56, 'ask4_size': 0.00041, 'ask5_price': 30727.6, 'ask5_size': 0.00438}
