2023-10-24 16:25:28,309 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:23,position:0.0,output_action:0,price_info:{'bid1_price': 34111.45, 'bid1_size': 5.86136, 'bid2_price': 34111.42, 'bid2_size': 2.24061, 'bid3_price': 34111.07, 'bid3_size': 0.00681, 'bid4_price': 34111.06, 'bid4_size': 0.00635, 'bid5_price': 34111.05, 'bid5_size': 0.24993, 'ask1_price': 34111.46, 'ask1_size': 0.7864, 'ask2_price': 34111.47, 'ask2_size': 0.00065, 'ask3_price': 34111.56, 'ask3_size': 0.02973, 'ask4_price': 34111.78, 'ask4_size': 0.00022, 'ask5_price': 34111.88, 'ask5_size': 0.00065}
2023-10-24 16:25:28,546 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:24,position:0.0,output_action:0,price_info:{'bid1_price': 34111.45, 'bid1_size': 7.53816, 'bid2_price': 34111.42, 'bid2_size': 2.24061, 'bid3_price': 34111.07, 'bid3_size': 0.00681, 'bid4_price': 34111.06, 'bid4_size': 0.00657, 'bid5_price': 34111.05, 'bid5_size': 0.24993, 'ask1_price': 34111.46, 'ask1_size': 0.70695, 'ask2_price': 34111.47, 'ask2_size': 0.00065, 'ask3_price': 34111.77, 'ask3_size': 1.63587, 'ask4_price': 34111.78, 'ask4_size': 0.00022, 'ask5_price': 34111.88, 'ask5_size': 0.00065}
2023-10-24 16:25:28,852 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:25,position:0.0,output_action:0,price_info:{'bid1_price': 34111.46, 'bid1_size': 6.18938, 'bid2_price': 34111.45, 'bid2_size': 1.92906, 'bid3_price': 34111.42, 'bid3_size': 0.00058, 'bid4_price': 34111.07, 'bid4_size': 0.00681, 'bid5_price': 34111.06, 'bid5_size': 0.00657, 'ask1_price': 34111.47, 'ask1_size': 0.00065, 'ask2_price': 34111.78, 'ask2_size': 0.00022, 'ask3_price': 34111.88, 'ask3_size': 0.00065, 'ask4_price': 34112.14, 'ask4_size': 0.00066, 'ask5_price': 34112.29, 'ask5_size': 0.00065}
2023-10-24 16:25:29,121 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:26,position:0.0,output_action:0,price_info:{'bid1_price': 34112.77, 'bid1_size': 7.93624, 'bid2_price': 34112.29, 'bid2_size': 0.03678, 'bid3_price': 34112.28, 'bid3_size': 0.24993, 'bid4_price': 34112.14, 'bid4_size': 0.00022, 'bid5_price': 34111.88, 'bid5_size': 0.00065, 'ask1_price': 34112.78, 'ask1_size': 0.82066, 'ask2_price': 34112.86, 'ask2_size': 0.00022, 'ask3_price': 34113.11, 'ask3_size': 0.00065, 'ask4_price': 34113.19, 'ask4_size': 0.18484, 'ask5_price': 34113.22, 'ask5_size': 0.00022}
2023-10-24 16:25:29,383 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:27,position:0.0,output_action:0,price_info:{'bid1_price': 34112.77, 'bid1_size': 8.70252, 'bid2_price': 34112.29, 'bid2_size': 0.03678, 'bid3_price': 34112.28, 'bid3_size': 0.24993, 'bid4_price': 34112.14, 'bid4_size': 0.00022, 'bid5_price': 34112.08, 'bid5_size': 0.02931, 'ask1_price': 34112.78, 'ask1_size': 0.83933, 'ask2_price': 34112.86, 'ask2_size': 0.00022, 'ask3_price': 34113.11, 'ask3_size': 0.00065, 'ask4_price': 34113.22, 'ask4_size': 0.00022, 'ask5_price': 34113.52, 'ask5_size': 0.00065}
2023-10-24 16:25:34,858 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:28,position:0.0,output_action:0,price_info:{'bid1_price': 34117.05, 'bid1_size': 8.36483, 'bid2_price': 34116.9, 'bid2_size': 0.10032, 'bid3_price': 34116.79, 'bid3_size': 0.24993, 'bid4_price': 34116.54, 'bid4_size': 0.00641, 'bid5_price': 34116.51, 'bid5_size': 0.2, 'ask1_price': 34117.06, 'ask1_size': 2.59517, 'ask2_price': 34117.11, 'ask2_size': 0.3469, 'ask3_price': 34117.13, 'ask3_size': 0.00647, 'ask4_price': 34117.18, 'ask4_size': 0.0011, 'ask5_price': 34117.21, 'ask5_size': 0.00065}
2023-10-24 16:25:35,121 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:29,position:0.0,output_action:0,price_info:{'bid1_price': 34119.44, 'bid1_size': 7.37047, 'bid2_price': 34118.98, 'bid2_size': 0.00022, 'bid3_price': 34118.85, 'bid3_size': 0.00065, 'bid4_price': 34118.83, 'bid4_size': 0.45, 'bid5_price': 34118.71, 'bid5_size': 0.45, 'ask1_price': 34119.45, 'ask1_size': 4.47705, 'ask2_price': 34119.67, 'ask2_size': 0.00065, 'ask3_price': 34119.7, 'ask3_size': 0.00022, 'ask4_price': 34120.0, 'ask4_size': 0.28208, 'ask5_price': 34120.06, 'ask5_size': 0.00022}
2023-10-24 16:25:35,885 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:30,position:0.0,output_action:0,price_info:{'bid1_price': 34112.29, 'bid1_size': 0.03678, 'bid2_price': 34112.14, 'bid2_size': 0.00022, 'bid3_price': 34111.88, 'bid3_size': 0.00065, 'bid4_price': 34111.78, 'bid4_size': 0.00066, 'bid5_price': 34111.6, 'bid5_size': 0.00239, 'ask1_price': 34112.3, 'ask1_size': 5.18874, 'ask2_price': 34112.42, 'ask2_size': 0.25, 'ask3_price': 34113.12, 'ask3_size': 0.25, 'ask4_price': 34113.25, 'ask4_size': 0.05138, 'ask5_price': 34114.35, 'ask5_size': 0.00056}
2023-10-24 16:25:36,135 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:31,position:0.0,output_action:0,price_info:{'bid1_price': 34110.93, 'bid1_size': 0.21876, 'bid2_price': 34110.7, 'bid2_size': 0.00022, 'bid3_price': 34110.69, 'bid3_size': 0.00146, 'bid4_price': 34110.68, 'bid4_size': 0.03982, 'bid5_price': 34110.65, 'bid5_size': 0.00065, 'ask1_price': 34110.94, 'ask1_size': 8.06157, 'ask2_price': 34111.42, 'ask2_size': 0.00022, 'ask3_price': 34111.47, 'ask3_size': 0.00065, 'ask4_price': 34111.78, 'ask4_size': 0.00022, 'ask5_price': 34111.83, 'ask5_size': 0.00122}
2023-10-24 16:25:36,413 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:32,position:0.0,output_action:0,price_info:{'bid1_price': 34110.93, 'bid1_size': 3.59031, 'bid2_price': 34110.77, 'bid2_size': 0.14982, 'bid3_price': 34110.7, 'bid3_size': 0.00022, 'bid4_price': 34110.69, 'bid4_size': 0.00163, 'bid5_price': 34110.68, 'bid5_size': 0.03982, 'ask1_price': 34110.94, 'ask1_size': 10.58492, 'ask2_price': 34111.11, 'ask2_size': 0.00122, 'ask3_price': 34111.42, 'ask3_size': 0.00022, 'ask4_price': 34111.47, 'ask4_size': 0.00187, 'ask5_price': 34111.78, 'ask5_size': 0.00022}
