2023-10-29 20:38:20,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583100, Kline_1s timestep: 1698583100
2023-10-29 20:38:21,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583101, Kline_1s timestep: 1698583101
2023-10-29 20:38:22,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583102, Kline_1s timestep: 1698583102
2023-10-29 20:38:24,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583104, Kline_1s timestep: 1698583104
2023-10-29 20:38:25,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583105, Kline_1s timestep: 1698583105
2023-10-29 20:38:26,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583106, Kline_1s timestep: 1698583106
2023-10-29 20:38:27,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583107, Kline_1s timestep: 1698583107
2023-10-29 20:38:29,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583109, Kline_1s timestep: 1698583109
2023-10-29 20:38:30,609 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583110, Kline_1s timestep: 1698583110
2023-10-29 20:38:31,612 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583111, Kline_1s timestep: 1698583111
2023-10-29 20:38:32,611 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583112, Kline_1s timestep: 1698583112
2023-10-29 20:38:34,619 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583114, Kline_1s timestep: 1698583114
2023-10-29 20:38:35,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583115, Kline_1s timestep: 1698583115
2023-10-29 20:38:37,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583117, Kline_1s timestep: 1698583117
2023-10-29 20:38:38,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583118, Kline_1s timestep: 1698583118
2023-10-29 20:38:39,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583119, Kline_1s timestep: 1698583119
2023-10-29 20:38:40,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583120, Kline_1s timestep: 1698583120
2023-10-29 20:38:41,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583121, Kline_1s timestep: 1698583121
2023-10-29 20:38:42,636 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583122, Kline_1s timestep: 1698583122
2023-10-29 20:38:44,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583124, Kline_1s timestep: 1698583124
2023-10-29 20:38:45,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583125, Kline_1s timestep: 1698583125
